timestamp,open,high,low,close,Date,c,ccy,LogReturn
2014-11-24,6.1332,6.1626,6.1308,6.1584,2014-11-24,6.1584,CNH,
2014-11-25,6.1575,6.1585,6.1415,6.1441,2014-11-25,6.1441,CNH,-0.0023247317927603817
2014-11-26,6.1431,6.1576,6.1328,6.1482,2014-11-26,6.1482,CNH,0.0006670842970060153
2014-11-27,6.1475,6.1494,6.1328,6.147,2014-11-27,6.147,CNH,-0.00019519812671786596
2014-11-28,6.146,6.1631,6.1435,6.1594,2014-11-28,6.1594,CNH,0.0020152122792123084
2014-12-01,6.1578,6.1681,6.1552,6.1583,2014-12-01,6.1583,CNH,-0.00017860477246967044
2014-12-02,6.1568,6.1579,6.1486,6.1566,2014-12-02,6.1566,CNH,-0.0002760883175336737
2014-12-03,6.1565,6.1566,6.1445,6.1481,2014-12-03,6.1481,CNH,-0.0013815861178334554
2014-12-04,6.1479,6.1585,6.1459,6.151,2014-12-04,6.151,CNH,0.0004715792299831989
2014-12-05,6.1511,6.1598,6.1484,6.1583,2014-12-05,6.1583,CNH,0.0011860952053839302
2014-12-08,6.1558,6.1813,6.1498,6.1726,2014-12-08,6.1726,CNH,0.0023193775653984616
2014-12-09,6.1712,6.2053,6.1688,6.1855,2014-12-09,6.1855,CNH,0.0020877003237358416
2014-12-10,6.1846,6.199,6.1717,6.178,2014-12-10,6.178,CNH,-0.0012132488243594697
2014-12-11,6.1764,6.1986,6.1733,6.191,2014-12-11,6.191,CNH,0.002102030040705083
2014-12-12,6.1908,6.2031,6.1855,6.1925,2014-12-12,6.1925,CNH,0.00024225784428266728
2014-12-15,6.1898,6.1998,6.1868,6.1981,2014-12-15,6.1981,CNH,0.0009039110908741765
2014-12-16,6.1965,6.2021,6.1879,6.1919,2014-12-16,6.1919,CNH,-0.0010008071860374557
2014-12-17,6.1913,6.203,6.1898,6.2026,2014-12-17,6.2026,CNH,0.0017265726988755503
2014-12-18,6.2014,6.2244,6.1993,6.2222,2014-12-18,6.2222,CNH,0.00315498297889083
2014-12-19,6.2209,6.2297,6.2155,6.2209,2014-12-19,6.2209,CNH,-0.00020895114637498047
2014-12-22,6.22,6.2266,6.2135,6.2198,2014-12-22,6.2198,CNH,-0.0001768389243155255
2014-12-23,6.2198,6.2328,6.2181,6.2304,2014-12-23,6.2304,CNH,0.0017027843024532974
2014-12-24,6.2291,6.2324,6.22,6.2222,2014-12-24,6.2222,CNH,-0.0013169942317627914
2014-12-25,6.2219,6.2241,6.2027,6.2044,2014-12-25,6.2044,CNH,-0.002864824195522031
2014-12-26,6.2044,6.2231,6.2015,6.2172,2014-12-26,6.2172,CNH,0.002060926858147072
2014-12-29,6.2157,6.2369,6.2095,6.2356,2014-12-29,6.2356,CNH,0.002955160829783088
2014-12-30,6.2342,6.2394,6.2127,6.2159,2014-12-30,6.2159,CNH,-0.0031642800365354606
2014-12-31,6.2156,6.2278,6.2017,6.2162,2014-12-31,6.2162,CNH,4.826216006259543e-05
2015-01-01,6.2181,6.2185,6.2143,6.2184,2015-01-01,6.2184,CNH,0.00035385135395693545
2015-01-02,6.2181,6.2305,6.2156,6.2262,2015-01-02,6.2262,CNH,0.0012535559232778049
2015-01-05,6.2272,6.2333,6.2203,6.2274,2015-01-05,6.2274,CNH,0.00019271536001053136
2015-01-06,6.2261,6.2281,6.2054,6.213,2015-01-06,6.213,CNH,-0.00231503913560438
2015-01-07,6.212,6.2207,6.2072,6.2157,2015-01-07,6.2157,CNH,0.000434478270852523
2015-01-08,6.2145,6.2237,6.2131,6.2175,2015-01-08,6.2175,CNH,0.00028954734301334106
2015-01-09,6.2154,6.2182,6.2009,6.203,2015-01-09,6.203,CNH,-0.0023348507044422817
2015-01-12,6.2035,6.2052,6.1946,6.1981,2015-01-12,6.1981,CNH,-0.0007902525187286624
2015-01-13,6.1973,6.2048,6.1923,6.1948,2015-01-13,6.1948,CNH,-0.0005325630123695912
2015-01-14,6.1955,6.1998,6.1911,6.1936,2015-01-14,6.1936,CNH,-0.00019372961863561855
2015-01-15,6.194,6.2184,6.1868,6.2036,2015-01-15,6.2036,CNH,0.0016132678619140695
2015-01-16,6.2052,6.2438,6.1969,6.2315,2015-01-16,6.2315,CNH,0.00448730558113386
2015-01-19,6.2349,6.2355,6.2191,6.2223,2015-01-19,6.2223,CNH,-0.0014774609634891078
2015-01-20,6.2222,6.2279,6.2149,6.2191,2015-01-20,6.2191,CNH,-0.0005144115727433451
2015-01-21,6.2204,6.2258,6.2115,6.2184,2015-01-21,6.2184,CNH,-0.00011256281418914327
2015-01-22,6.2183,6.2237,6.2094,6.219,2015-01-22,6.219,CNH,9.648318787935928e-05
2015-01-23,6.2194,6.2551,6.2174,6.2495,2015-01-23,6.2495,CNH,0.004892338426387255
2015-01-26,6.2541,6.2698,6.2478,6.2534,2015-01-26,6.2534,CNH,0.0006238552858117696
2015-01-27,6.2525,6.2557,6.2373,6.2416,2015-01-27,6.2416,CNH,-0.0018887560636962064
2015-01-28,6.2421,6.2629,6.2392,6.2592,2015-01-28,6.2592,CNH,0.0028158216480513865
2015-01-29,6.2583,6.2651,6.2538,6.2621,2015-01-29,6.2621,CNH,0.00046321069726840136
2015-01-30,6.2619,6.2895,6.2546,6.2816,2015-01-30,6.2816,CNH,0.003109132984429941
2015-02-02,6.28,6.2832,6.2649,6.268,2015-02-02,6.268,CNH,-0.0021674006062304407
2015-02-03,6.2668,6.2756,6.2498,6.2563,2015-02-03,6.2563,CNH,-0.0018683684363245412
2015-02-04,6.2554,6.2629,6.2465,6.261,2015-02-04,6.261,CNH,0.0007509607057234469
2015-02-05,6.261,6.2652,6.2411,6.2425,2015-02-05,6.2425,CNH,-0.0029591735913820916
2015-02-06,6.2427,6.2537,6.2338,6.2462,2015-02-06,6.2462,CNH,0.0005925356695661854
2015-02-09,6.2484,6.2551,6.247,6.2512,2015-02-09,6.2512,CNH,0.0008001664773116257
