timestamp,open,high,low,close,Date,c,ccy,LogReturn
2005-03-04,7.7997,7.7998,7.7971,7.799,2005-03-04,7.799,HKD,
2005-03-07,7.7992,7.7998,7.7967,7.7996,2005-03-07,7.7996,HKD,7.692998093355996e-05
2005-03-08,7.7996,7.7999,7.7968,7.7996,2005-03-08,7.7996,HKD,0.0
2005-03-09,7.7997,7.8,7.7945,7.7996,2005-03-09,7.7996,HKD,0.0
2005-03-10,7.7991,7.7998,7.7945,7.7993,2005-03-10,7.7993,HKD,-3.84642506889854e-05
2005-03-11,7.799,7.7997,7.7965,7.7984,2005-03-11,7.7984,HKD,-0.0001154016298552385
2005-03-14,7.7987,7.7998,7.7945,7.7995,2005-03-14,7.7995,HKD,0.00014104462803610218
2005-03-15,7.7995,7.7998,7.795,7.7996,2005-03-15,7.7996,HKD,1.2821252508121717e-05
2005-03-16,7.7996,7.7999,7.795,7.7992,2005-03-16,7.7992,HKD,-5.1285996369720976e-05
2005-03-17,7.7992,7.7997,7.7979,7.7996,2005-03-17,7.7996,HKD,5.1285996369720976e-05
2005-03-18,7.7997,7.7997,7.7934,7.7987,2005-03-18,7.7987,HKD,-0.00011539719084741051
2005-03-21,7.7982,7.7996,7.7974,7.7992,2005-03-21,7.7992,HKD,6.411119447768954e-05
2005-03-22,7.799,7.7998,7.7973,7.7996,2005-03-22,7.7996,HKD,5.1285996369720976e-05
2005-03-23,7.7996,7.7998,7.7945,7.7992,2005-03-23,7.7992,HKD,-5.1285996369720976e-05
2005-03-24,7.7995,7.7999,7.795,7.7993,2005-03-24,7.7993,HKD,1.2821745680735575e-05
2005-03-25,7.7995,7.7998,7.7981,7.7994,2005-03-25,7.7994,HKD,1.2821581286015515e-05
2005-03-28,7.7995,7.7998,7.7981,7.7996,2005-03-28,7.7996,HKD,2.5642669402969887e-05
2005-03-29,7.7995,7.7999,7.795,7.7994,2005-03-29,7.7994,HKD,-2.5642669402969887e-05
2005-03-30,7.7993,7.7998,7.7945,7.7991,2005-03-30,7.7991,HKD,-3.8465237046647616e-05
2005-03-31,7.7993,7.7995,7.7971,7.799,2005-03-31,7.799,HKD,-1.2822074483942458e-05
2005-04-01,7.7992,7.7998,7.794,7.7982,2005-04-01,7.7982,HKD,-0.0001025825149003623
2005-04-04,7.7982,7.7997,7.7976,7.799,2005-04-04,7.799,HKD,0.0001025825149003623
2005-04-05,7.799,7.7997,7.7977,7.7994,2005-04-05,7.7994,HKD,5.1287311530590074e-05
2005-04-06,7.7994,7.7997,7.7942,7.7992,2005-04-06,7.7992,HKD,-2.564332696675109e-05
2005-04-07,7.7993,7.7995,7.7972,7.7989,2005-04-07,7.7989,HKD,-3.8466223454936e-05
2005-04-08,7.7988,7.7994,7.794,7.7979,2005-04-08,7.7979,HKD,-0.00012823143226459166
2005-04-11,7.7988,7.7994,7.7945,7.7989,2005-04-11,7.7989,HKD,0.00012823143226459166
2005-04-12,7.799,7.7994,7.794,7.7989,2005-04-12,7.7989,HKD,0.0
2005-04-13,7.7989,7.7994,7.7973,7.7988,2005-04-13,7.7988,HKD,-1.2822403303136554e-05
2005-04-14,7.7991,7.7993,7.797,7.7987,2005-04-14,7.7987,HKD,-1.2822567719616984e-05
2005-04-15,7.7986,7.799,7.7938,7.7965,2005-04-15,7.7965,HKD,-0.0002821380956437025
