timestamp,open,high,low,close,Date,c,ccy,LogReturn
2014-11-24,1110.94,1117.92,1110.41,1116.0,2014-11-24,1116.0,KRW,
2014-11-25,1116.0,1116.0,1108.8,1110.85,2014-11-25,1110.85,KRW,-0.004625375918119623
2014-11-26,1110.85,1110.85,1102.62,1106.35,2014-11-26,1106.35,KRW,-0.00405917930619637
2014-11-27,1106.35,1106.35,1096.5,1101.0,2014-11-27,1101.0,KRW,-0.004847450994260427
2014-11-28,1102.1,1113.06,1101.0,1109.7,2014-11-28,1109.7,KRW,0.007870850783838534
2014-12-01,1109.7,1119.92,1105.99,1107.1,2014-12-01,1107.1,KRW,-0.002345724641097391
2014-12-02,1107.1,1116.02,1103.6,1115.0,2014-12-02,1115.0,KRW,0.0071104210287984415
2014-12-03,1114.9,1118.01,1110.6,1113.5,2014-12-03,1113.5,KRW,-0.0013461971967974051
2014-12-04,1115.5,1117.8,1110.86,1114.7,2014-12-04,1114.7,KRW,0.001077102698156196
2014-12-05,1114.7,1121.77,1110.85,1121.39,2014-12-05,1121.39,KRW,0.005983676829585782
2014-12-08,1121.39,1121.6,1110.95,1113.5,2014-12-08,1113.5,KRW,-0.007060779527741978
2014-12-09,1113.5,1114.98,1101.52,1104.75,2014-12-09,1104.75,KRW,-0.00788914268657237
2014-12-10,1104.75,1108.67,1099.1,1104.2,2014-12-10,1104.2,KRW,-0.0004979741609050237
2014-12-11,1104.2,1104.2,1095.5,1100.3,2014-12-11,1100.3,KRW,-0.0035382209740779658
2014-12-12,1100.3,1106.2,1100.0,1100.0,2014-12-12,1100.0,KRW,-0.0002726900894050033
2014-12-15,1100.0,1105.5,1098.7,1100.0,2014-12-15,1100.0,KRW,0.0
2014-12-16,1100.0,1100.0,1080.05,1080.05,2014-12-16,1080.05,KRW,-0.018302843443540162
2014-12-17,1080.05,1102.15,1080.05,1093.2,2014-12-17,1093.2,KRW,0.012101838710991686
2014-12-18,1093.2,1105.8,1093.2,1096.5,2014-12-18,1096.5,KRW,0.0030141138040296056
2014-12-19,1096.5,1103.2,1096.5,1097.05,2014-12-19,1097.05,KRW,0.0005014702300165652
2014-12-22,1097.05,1102.15,1094.2,1096.0,2014-12-22,1096.0,KRW,-0.0009575705799980128
2014-12-23,1096.0,1104.2,1096.0,1101.0,2014-12-23,1101.0,KRW,0.004551669214718501
2014-12-24,1101.0,1106.6,1101.0,1103.5,2014-12-24,1103.5,KRW,0.0022680889741115706
2014-12-25,1103.5,1103.5,1101.65,1103.5,2014-12-25,1103.5,KRW,0.0
2014-12-26,1103.1,1103.5,1097.1,1103.5,2014-12-26,1103.5,KRW,0.0
2014-12-29,1099.1,1103.5,1096.3,1097.5,2014-12-29,1097.5,KRW,-0.005452080747464727
2014-12-30,1102.15,1102.15,1094.8,1097.9,2014-12-30,1097.9,KRW,0.00036439829136014623
2014-12-31,1097.9,1097.9,1086.6,1091.0,2014-12-31,1091.0,KRW,-0.0063045574076161515
2015-01-01,1091.0,1093.75,1090.0,1091.0,2015-01-01,1091.0,KRW,0.0
2015-01-02,1093.9,1104.55,1091.0,1104.55,2015-01-02,1104.55,KRW,0.012343305355122958
2015-01-05,1104.55,1111.6,1102.15,1109.2,2015-01-05,1109.2,KRW,0.004201022553429468
2015-01-06,1109.2,1109.2,1095.9,1098.0,2015-01-06,1098.0,KRW,-0.010148691672147159
2015-01-07,1098.0,1102.4,1094.4,1099.0,2015-01-07,1099.0,KRW,0.0009103323341452807
2015-01-08,1099.0,1102.15,1095.6,1096.4,2015-01-08,1096.4,KRW,-0.0023685899749903427
