timestamp,open,high,low,close,Date,c,ccy,LogReturn
2005-03-04,1.6283,1.6337,1.623,1.625,2005-03-04,1.625,SGD,
2005-03-07,1.6253,1.628,1.6234,1.6253,2005-03-07,1.6253,SGD,0.00018459834529233055
2005-03-08,1.6253,1.6267,1.6178,1.6213,2005-03-08,1.6213,SGD,-0.0024641175531067705
2005-03-09,1.6215,1.6222,1.6175,1.6198,2005-03-09,1.6198,SGD,-0.0009256117411339804
2005-03-10,1.6193,1.622,1.6156,1.6191,2005-03-10,1.6191,SGD,-0.00043224552218268375
2005-03-11,1.6191,1.6243,1.6167,1.6187,2005-03-11,1.6187,SGD,-0.00024708135279194465
2005-03-14,1.6185,1.6243,1.618,1.6225,2005-03-14,1.6225,SGD,0.0023448116383302797
2005-03-15,1.6234,1.6263,1.6189,1.6258,2005-03-15,1.6258,SGD,0.0020318327342268017
2005-03-16,1.6246,1.6258,1.6183,1.6199,2005-03-16,1.6199,SGD,-0.003635583386379704
2005-03-17,1.62,1.6247,1.6189,1.6232,2005-03-17,1.6232,SGD,0.0020350905855127666
2005-03-18,1.6232,1.6288,1.6222,1.6244,2005-03-18,1.6244,SGD,0.0007390073005377751
2005-03-21,1.6244,1.6312,1.6244,1.6294,2005-03-21,1.6294,SGD,0.0030733320643986373
2005-03-22,1.6294,1.6398,1.6288,1.6389,2005-03-22,1.6389,SGD,0.005813436193240262
2005-03-23,1.6393,1.6455,1.6364,1.6432,2005-03-23,1.6432,SGD,0.0026202751045121264
2005-03-24,1.6432,1.6487,1.641,1.6438,2005-03-24,1.6438,SGD,0.0003650745401058142
2005-03-25,1.6438,1.6459,1.6426,1.6435,2005-03-25,1.6435,SGD,-0.000182520610125525
2005-03-28,1.6433,1.6522,1.643,1.6508,2005-03-28,1.6508,SGD,0.004431904774152673
2005-03-29,1.6515,1.6531,1.6464,1.652,2005-03-29,1.652,SGD,0.0007266562024965673
2005-03-30,1.6515,1.6539,1.6477,1.6512,2005-03-30,1.6512,SGD,-0.00048437879367968506
2005-03-31,1.65,1.6523,1.6456,1.6503,2005-03-31,1.6503,SGD,-0.0005452067377215153
2005-04-01,1.6505,1.6598,1.6495,1.6569,2005-04-01,1.6569,SGD,0.003991297025729423
2005-04-04,1.6569,1.6677,1.6569,1.6652,2005-04-04,1.6652,SGD,0.00499684974556891
2005-04-05,1.6652,1.6683,1.6597,1.6608,2005-04-05,1.6608,SGD,-0.002645822349250926
2005-04-06,1.6608,1.6636,1.6565,1.659,2005-04-06,1.659,SGD,-0.0010844027811249823
2005-04-07,1.659,1.6612,1.6533,1.6593,2005-04-07,1.6593,SGD,0.00018081547829751354
2005-04-08,1.6593,1.6611,1.6522,1.653,2005-04-08,1.653,SGD,-0.0038040078477178385
2005-04-11,1.6543,1.6576,1.6481,1.6501,2005-04-11,1.6501,SGD,-0.0017559267022649871
2005-04-12,1.6501,1.6505,1.6444,1.6466,2005-04-12,1.6466,SGD,-0.0021233362544335055
2005-04-13,1.6458,1.6482,1.6413,1.6435,2005-04-13,1.6435,SGD,-0.0018844417600516472
2005-04-14,1.644,1.6573,1.642,1.6554,2005-04-14,1.6554,SGD,0.007214557347021366
2005-04-15,1.6551,1.6615,1.6538,1.6553,2005-04-15,1.6553,SGD,-6.041018517566332e-05
2005-04-18,1.6553,1.6615,1.6509,1.6522,2005-04-18,1.6522,SGD,-0.001874528137714937
2005-04-19,1.6522,1.6543,1.6465,1.6474,2005-04-19,1.6474,SGD,-0.002909445621256501
2005-04-20,1.6474,1.6516,1.6448,1.6456,2005-04-20,1.6456,SGD,-0.0010932281684009615
2005-04-21,1.6453,1.6512,1.6452,1.6484,2005-04-21,1.6484,SGD,0.0017000611259149756
2005-04-22,1.6453,1.6513,1.6446,1.6465,2005-04-22,1.6465,SGD,-0.0011532976482433455
2005-04-25,1.6465,1.6482,1.6424,1.647,2005-04-25,1.647,SGD,0.00030362836122133086
2005-04-26,1.6457,1.6489,1.644,1.6467,2005-04-26,1.6467,SGD,-0.00018216595368708566
2005-04-27,1.6466,1.651,1.6451,1.6468,2005-04-27,1.6468,SGD,6.072567179638e-05
2005-04-28,1.6463,1.6492,1.6437,1.6456,2005-04-28,1.6456,SGD,-0.0007289515570022553
2005-04-29,1.645,1.6475,1.632,1.6372,2005-04-29,1.6372,SGD,-0.005117593720499414
2005-05-02,1.6372,1.6399,1.635,1.636,2005-05-02,1.636,SGD,-0.0007332274555556517
2005-05-03,1.6367,1.6413,1.6352,1.6393,2005-05-03,1.6393,SGD,0.0020150832697182763
2005-05-04,1.6375,1.6393,1.6331,1.6342,2005-05-04,1.6342,SGD,-0.0031159334818034456
2005-05-05,1.634,1.6389,1.6338,1.6355,2005-05-05,1.6355,SGD,0.0007951800278314658
2005-05-06,1.6355,1.6426,1.635,1.6402,2005-05-06,1.6402,SGD,0.002869617623872278
2005-05-09,1.6412,1.6452,1.6398,1.6431,2005-05-09,1.6431,SGD,0.0017665158554744376
2005-05-10,1.6431,1.6485,1.6416,1.6447,2005-05-10,1.6447,SGD,0.0009732952894380698
2005-05-11,1.6449,1.6459,1.6365,1.6441,2005-05-11,1.6441,SGD,-0.0003648747303921507
2005-05-12,1.6441,1.6567,1.644,1.6552,2005-05-12,1.6552,SGD,0.006728725414502035
2005-05-13,1.6552,1.6603,1.6517,1.6603,2005-05-13,1.6603,SGD,0.0030764614824074776
2005-05-16,1.6583,1.6629,1.6535,1.6594,2005-05-16,1.6594,SGD,-0.000542217683555779
2005-05-17,1.6563,1.6594,1.653,1.657,2005-05-17,1.657,SGD,-0.0014473528036220706
2005-05-18,1.6555,1.6597,1.6476,1.6504,2005-05-18,1.6504,SGD,-0.003991055669520738
2005-05-19,1.6504,1.657,1.6492,1.6562,2005-05-19,1.6562,SGD,0.0035081388425575177
2005-05-20,1.6562,1.6643,1.6531,1.6598,2005-05-20,1.6598,SGD,0.0021712915647479347
2005-05-23,1.6616,1.663,1.6576,1.659,2005-05-23,1.659,SGD,-0.00048210197390308185
2005-05-24,1.6582,1.6597,1.6525,1.6548,2005-05-24,1.6548,SGD,-0.002534855603188113
2005-05-25,1.6582,1.6584,1.6521,1.6561,2005-05-25,1.6561,SGD,0.0007852850081887519
2005-05-26,1.6561,1.662,1.6557,1.6599,2005-05-26,1.6599,SGD,0.0022919189767285353
2005-05-27,1.6599,1.6611,1.6568,1.6593,2005-05-27,1.6593,SGD,-0.00036153290343166056
2005-05-30,1.6597,1.6615,1.657,1.6608,2005-05-30,1.6608,SGD,0.0009035873028274688
2005-05-31,1.6608,1.6673,1.6585,1.665,2005-05-31,1.665,SGD,0.0025257094429746996
2005-06-01,1.665,1.6795,1.6638,1.6773,2005-06-01,1.6773,SGD,0.007360234286165168
2005-06-02,1.6773,1.6786,1.6698,1.6728,2005-06-02,1.6728,SGD,-0.002686488586285507
2005-06-03,1.6727,1.6734,1.6639,1.6695,2005-06-03,1.6695,SGD,-0.001974688730714713
2005-06-06,1.6678,1.6698,1.6607,1.6624,2005-06-06,1.6624,SGD,-0.004261839038746107
2005-06-07,1.6616,1.6643,1.6583,1.66,2005-06-07,1.66,SGD,-0.0014447389943741396
2005-06-08,1.66,1.6637,1.6576,1.6628,2005-06-08,1.6628,SGD,0.0016853260278935078
2005-06-09,1.6629,1.6651,1.6597,1.6636,2005-06-09,1.6636,SGD,0.0004810004902742193
2005-06-10,1.6636,1.6714,1.6618,1.6711,2005-06-10,1.6711,SGD,0.004498163340580286
2005-06-13,1.6715,1.6815,1.67,1.6784,2005-06-13,1.6784,SGD,0.004358866432695785
2005-06-14,1.6786,1.6789,1.6718,1.6782,2005-06-14,1.6782,SGD,-0.00011916820606372447
2005-06-15,1.6782,1.6787,1.6701,1.6717,2005-06-15,1.6717,SGD,-0.0038807177273839644
2005-06-16,1.6717,1.6771,1.6696,1.6743,2005-06-16,1.6743,SGD,0.0015540947539125494
2005-06-17,1.6748,1.6757,1.6682,1.6686,2005-06-17,1.6686,SGD,-0.0034102159945234023
2005-06-20,1.6702,1.6756,1.6668,1.6735,2005-06-20,1.6735,SGD,0.002932290183407127
2005-06-21,1.6739,1.6779,1.6684,1.67,2005-06-21,1.67,SGD,-0.002093615240580493
2005-06-22,1.6696,1.6733,1.6678,1.6721,2005-06-22,1.6721,SGD,0.0012566950578225544
2005-06-23,1.671,1.6732,1.6685,1.6719,2005-06-23,1.6719,SGD,-0.00011961722502307204
2005-06-24,1.6714,1.6771,1.6706,1.674,2005-06-24,1.674,SGD,0.0012552678058203037
2005-06-27,1.6754,1.6785,1.6713,1.6744,2005-06-27,1.6744,SGD,0.00023892008236947593
2005-06-28,1.6749,1.6832,1.6744,1.6808,2005-06-28,1.6808,SGD,0.0038149783990006902
2005-06-29,1.6818,1.6886,1.6769,1.6861,2005-06-29,1.6861,SGD,0.0031482992531441933
2005-06-30,1.6858,1.6876,1.6814,1.685,2005-06-30,1.685,SGD,-0.0006526059974728549
2005-07-01,1.6853,1.6955,1.6818,1.6944,2005-07-01,1.6944,SGD,0.005563132060679821
2005-07-04,1.6926,1.6954,1.6896,1.6935,2005-07-04,1.6935,SGD,-0.0005313025893155521
2005-07-05,1.6935,1.7006,1.691,1.6949,2005-07-05,1.6949,SGD,0.0008263487661823721
2005-07-06,1.6949,1.6979,1.6915,1.6973,2005-07-06,1.6973,SGD,0.001415011143476974
2005-07-07,1.6965,1.7006,1.6922,1.6984,2005-07-07,1.6984,SGD,0.0006478782215605383
2005-07-08,1.6984,1.7061,1.6975,1.7017,2005-07-08,1.7017,SGD,0.001941119988344786
2005-07-11,1.7001,1.7023,1.693,1.6935,2005-07-11,1.6935,SGD,-0.0048303581195646705
2005-07-12,1.6935,1.695,1.685,1.6856,2005-07-12,1.6856,SGD,-0.0046758097678470945
2005-07-13,1.6856,1.695,1.6853,1.6906,2005-07-13,1.6906,SGD,0.0029619120048480774
2005-07-14,1.6906,1.6938,1.6874,1.6895,2005-07-14,1.6895,SGD,-0.0006508683404826687
2005-07-15,1.689,1.6907,1.6841,1.6868,2005-07-15,1.6868,SGD,-0.0015993842819398418
2005-07-18,1.6878,1.6893,1.6838,1.6852,2005-07-18,1.6852,SGD,-0.0009489917675433723
2005-07-19,1.6849,1.692,1.6833,1.6879,2005-07-19,1.6879,SGD,0.0016009015900205759
2005-07-20,1.6879,1.6929,1.6828,1.686,2005-07-20,1.686,SGD,-0.0011262931330813242
2005-07-21,1.686,1.6863,1.6495,1.6506,2005-07-21,1.6506,SGD,-0.02122000140321678
2005-07-22,1.6506,1.6634,1.6506,1.6593,2005-07-22,1.6593,SGD,0.005256968510158111
2005-07-25,1.6599,1.6653,1.6578,1.6608,2005-07-25,1.6608,SGD,0.0009035873028274688
2005-07-26,1.6608,1.6704,1.6605,1.6679,2005-07-26,1.6679,SGD,0.0042659361115579
2005-07-27,1.6684,1.6723,1.6633,1.6655,2005-07-27,1.6655,SGD,-0.0014399714493931182
2005-07-28,1.6655,1.6686,1.6619,1.6621,2005-07-28,1.6621,SGD,-0.002043515556669928
2005-07-29,1.6631,1.6643,1.6578,1.6628,2005-07-29,1.6628,SGD,0.0004210653014180554
2005-08-01,1.6624,1.6653,1.6577,1.6599,2005-08-01,1.6599,SGD,-0.0017455688063087171
2005-08-02,1.6597,1.6616,1.6506,1.6548,2005-08-02,1.6548,SGD,-0.003077203984917287
2005-08-03,1.654,1.6573,1.6486,1.6516,2005-08-03,1.6516,SGD,-0.0019356405753212513
2005-08-04,1.6514,1.6534,1.6459,1.6514,2005-08-04,1.6514,SGD,-0.0001211020286069342
2005-08-05,1.6519,1.6558,1.6501,1.6535,2005-08-05,1.6535,SGD,0.0012708404385192162
2005-08-08,1.6535,1.6563,1.6481,1.6538,2005-08-08,1.6538,SGD,0.00018141686621886421
2005-08-09,1.6541,1.6571,1.6513,1.6538,2005-08-09,1.6538,SGD,0.0
2005-08-10,1.6538,1.6538,1.6444,1.6455,2005-08-10,1.6455,SGD,-0.005031380904671701
2005-08-11,1.6455,1.6516,1.6432,1.6474,2005-08-11,1.6474,SGD,0.001153998123753719
2005-08-12,1.6474,1.6528,1.6457,1.6515,2005-08-12,1.6515,SGD,0.00248567832369595
2005-08-15,1.6522,1.6607,1.6496,1.6573,2005-08-15,1.6573,SGD,0.003505806298654046
2005-08-16,1.6577,1.6614,1.6541,1.6579,2005-08-16,1.6579,SGD,0.0003619691159211236
2005-08-17,1.6579,1.6621,1.6564,1.6591,2005-08-17,1.6591,SGD,0.0007235454038901912
2005-08-18,1.6591,1.667,1.6576,1.6657,2005-08-18,1.6657,SGD,0.003970168833752452
2005-08-19,1.6657,1.6718,1.664,1.6709,2005-08-19,1.6709,SGD,0.0031169479170356507
2005-08-22,1.6703,1.6713,1.6641,1.6656,2005-08-22,1.6656,SGD,-0.0031769845393933016
2005-08-23,1.6651,1.6701,1.6642,1.6662,2005-08-23,1.6662,SGD,0.0003601656801043296
2005-08-24,1.6662,1.6768,1.6662,1.6699,2005-08-24,1.6699,SGD,0.0022181598375778933
2005-08-25,1.6696,1.6746,1.6691,1.6714,2005-08-25,1.6714,SGD,0.0008978541889491654
2005-08-26,1.6714,1.6759,1.6686,1.6736,2005-08-26,1.6736,SGD,0.001315396303267935
2005-08-29,1.6736,1.6833,1.6722,1.6817,2005-08-29,1.6817,SGD,0.004828191658100445
2005-08-30,1.6815,1.6878,1.6774,1.6839,2005-08-30,1.6839,SGD,0.001307345087559031
2005-08-31,1.6836,1.6903,1.6801,1.6809,2005-08-31,1.6809,SGD,-0.0017831673769146406
2005-09-01,1.6809,1.6834,1.6753,1.676,2005-09-01,1.676,SGD,-0.002919362197320252
2005-09-02,1.6764,1.678,1.6705,1.672,2005-09-02,1.672,SGD,-0.002389487397381429
2005-09-05,1.672,1.6754,1.6693,1.6717,2005-09-05,1.6717,SGD,-0.00017944193606189707
2005-09-06,1.6717,1.678,1.6716,1.6762,2005-09-06,1.6762,SGD,0.002688253956220743
2005-09-07,1.6762,1.6785,1.6735,1.6768,2005-09-07,1.6768,SGD,0.0003578884619173106
2005-09-08,1.6768,1.6791,1.6743,1.6755,2005-09-08,1.6755,SGD,-0.0007755869493579759
2005-09-09,1.6755,1.6798,1.6723,1.6728,2005-09-09,1.6728,SGD,-0.001612759062941227
2005-09-12,1.6728,1.6784,1.6716,1.6774,2005-09-12,1.6774,SGD,0.002746106435887241
2005-09-13,1.6774,1.6834,1.6757,1.6799,2005-09-13,1.6799,SGD,0.001489292265857367
2005-09-14,1.6799,1.6814,1.6758,1.6785,2005-09-14,1.6785,SGD,-0.0008337303960788134
2005-09-15,1.6785,1.6809,1.6763,1.6785,2005-09-15,1.6785,SGD,0.0
2005-09-16,1.6785,1.6823,1.6765,1.6813,2005-09-16,1.6813,SGD,0.001666766264792896
2005-09-19,1.6812,1.6837,1.68,1.682,2005-09-19,1.682,SGD,0.0004162578480108037
2005-09-20,1.682,1.6838,1.6759,1.6834,2005-09-20,1.6834,SGD,0.0008319962445824114
2005-09-21,1.6834,1.6836,1.6775,1.6791,2005-09-21,1.6791,SGD,-0.0025576222120521352
2005-09-22,1.6791,1.6821,1.6771,1.6807,2005-09-22,1.6807,SGD,0.0009524377170972986
2005-09-23,1.6807,1.6876,1.68,1.6846,2005-09-23,1.6846,SGD,0.002317773598742412
