timestamp,open,high,low,close,Date,c,ccy,LogReturn
2014-11-24,32.75,32.85,32.67,32.82,2014-11-24,32.82,THB,
2014-11-25,32.81,32.83,32.71,32.8,2014-11-25,32.8,THB,-0.0006095702718469376
2014-11-26,32.78,32.8,32.67,32.74,2014-11-26,32.74,THB,-0.0018309434471088792
2014-11-27,32.78,32.78,32.67,32.77,2014-11-27,32.77,THB,0.0009158907677342398
2014-11-28,32.76,32.86,32.3,32.83,2014-11-28,32.83,THB,0.0018292688027781168
2014-12-01,32.83,32.92,32.69,32.76,2014-12-01,32.76,THB,-0.002134472528632525
2014-12-02,32.76,32.88,32.7,32.85,2014-12-02,32.85,THB,0.002743485945750912
2014-12-03,32.85,32.93,32.76,32.84,2014-12-03,32.84,THB,-0.00030446034639197705
2014-12-04,32.86,32.92,32.8,32.87,2014-12-04,32.87,THB,0.0009131030919000693
2014-12-05,32.88,33.01,32.8,33.0,2014-12-05,33.0,THB,0.003947173790352476
2014-12-08,32.98,33.1,32.92,33.0,2014-12-08,33.0,THB,0.0
2014-12-09,33.0,33.05,32.74,32.9,2014-12-09,32.9,THB,-0.003034903695154245
2014-12-10,32.85,32.9,32.69,32.76,2014-12-10,32.76,THB,-0.004264398786457235
2014-12-11,32.76,32.87,32.68,32.81,2014-12-11,32.81,THB,0.0015250879881416601
2014-12-12,32.81,32.81,32.7,32.8,2014-12-12,32.8,THB,-0.0003048315829126125
2014-12-15,32.79,33.0,32.7,32.95,2014-12-15,32.95,THB,0.004562745558418513
2014-12-16,32.95,33.07,32.81,32.99,2014-12-16,32.99,THB,0.0012132242919737912
2014-12-17,32.99,33.03,32.79,32.92,2014-12-17,32.92,THB,-0.002124109431620891
2014-12-18,32.92,32.98,32.77,32.86,2014-12-18,32.86,THB,-0.001824263199747378
2014-12-19,32.86,32.87,32.74,32.85,2014-12-19,32.85,THB,-0.00030436767850217095
2014-12-22,32.84,32.89,32.74,32.86,2014-12-22,32.86,THB,0.00030436767850217095
2014-12-23,32.89,32.92,32.81,32.9,2014-12-23,32.9,THB,0.0012165451622041523
2014-12-24,32.88,32.91,32.78,32.86,2014-12-24,32.86,THB,-0.0012165451622041523
2014-12-25,32.88,32.9,32.85,32.88,2014-12-25,32.88,THB,0.0006084575788571911
2014-12-26,32.81,32.95,32.79,32.88,2014-12-26,32.88,THB,0.0
